temperature,abs_magnetisation,magnetisation_squared,energy_per_site,susceptibility,heat_capacity
1.804609299,0.9972826242,0.9945727587,-2.983909845,0.00052846584,0.06632654369
1.943425417,0.995552361,0.9911262989,-2.973824978,0.007360774092,0.1037887633
2.082241535,0.9929299355,0.9859117866,-2.95863986,0.007328059059,0.1107079983
2.221057653,0.9896425605,0.9793952703,-2.939540148,0.01030508336,0.1686567366
2.359873772,0.9848049879,0.9698448777,-2.912580013,0.01353804953,0.1623270363
2.49868989,0.9793074727,0.9590497017,-2.881580114,0.02099183574,0.2402517349
2.637506008,0.9728848934,0.9465148449,-2.846945047,0.02983050235,0.3116537929
2.776321888,0.9637325406,0.9287938476,-2.797810078,0.03864406422,0.368450135
2.915138006,0.9537876248,0.9097287655,-2.745615005,0.04923539981,0.4339829087
3.053954124,0.9406500459,0.8848457932,-2.679330111,0.06104981154,0.4846334755
3.192770243,0.9261823893,0.8578436375,-2.608209848,0.07467452437,0.5140388012
3.331586361,0.9086350799,0.8256710768,-2.525524855,0.1280979216,0.7200345397
3.470402479,0.8843050599,0.7820532918,-2.416225195,0.1334164888,0.7107454538
3.609218597,0.8595025539,0.7388255596,-2.308610201,0.1794141531,0.814342618
3.748034716,0.8272449374,0.6844320893,-2.179889917,0.209027797,0.8320184946
3.886850834,0.7890750766,0.6228456497,-2.039294958,0.4243486524,1.282135487
4.025666714,0.7422348261,0.5511735678,-1.87874496,0.5186892152,1.233617663
4.16448307,0.674589932,0.4554428458,-1.683624983,0.7132262588,1.118496656
4.30329895,0.5838899612,0.3418232203,-1.462444901,1.66521287,1.718724608
4.442115307,0.4109325111,0.1742634177,-1.185829997,9.721289635,2.438985109
4.580931187,0.1156499982,0.01857664995,-0.9307399988,9.084140778,0.8150372505
4.719747543,0.06830002367,0.006435686722,-0.8547199965,3.001505375,0.4231456518
4.858563423,0.04345749691,0.003018362448,-0.7965900302,1.860316753,0.3644468486
4.99737978,0.03356750309,0.001781825675,-0.7576500177,1.0486269,0.2416131794
5.13619566,0.03019749559,0.001507932786,-0.7245349884,0.9283822179,0.1983093321
5.275012016,0.0319474861,0.001565777347,-0.6912800074,0.8267438412,0.2234530896
5.413827896,0.03099750355,0.001354803098,-0.6613100171,0.5821505785,0.1667631567
5.552643776,0.02603749745,0.001059353119,-0.6325150132,0.5495066643,0.1619267017
5.691460133,0.02932749689,0.001206765417,-0.6194450259,0.4872751236,0.1540547013
5.830276012,0.02500750497,0.0009482519235,-0.5974600315,0.4430344105,0.1374289095
5.969092369,0.02345250174,0.0008306692471,-0.5766850114,0.3761368096,0.159759745
6.107908249,0.02181249857,0.0007395342691,-0.5547899604,0.3454526961,0.1211248711
6.246724606,0.01797249354,0.0005478493404,-0.5396199822,0.2879445851,0.09455667436
6.385540485,0.02099750564,0.0007016719319,-0.5276350379,0.3267090023,0.07705064118
6.524356842,0.02059750073,0.0006756705698,-0.5092099905,0.3082768321,0.08546186239
6.663172722,0.02035750076,0.0006481517921,-0.4972250164,0.2806158364,0.08537290245
6.801989079,0.01761249825,0.0005020655808,-0.486804992,0.2256581038,0.0935979262
6.940804958,0.01781249978,0.000458824361,-0.4714699984,0.1631386727,0.08621732891
7.079621315,0.0195649974,0.0005896012299,-0.4693000019,0.2336984873,0.07592370361
7.218437195,0.01758999936,0.0004661687417,-0.4507200122,0.1737336218,0.08745661378
